日期,应用名称,包名,总时长,0:00-0:59,1:00-1:59,2:00-2:59,3:00-3:59,4:00-4:59,5:00-5:59,6:00-6:59,7:00-7:59,8:00-8:59,9:00-9:59,10:00-10:59,11:00-11:59,12:00-12:59,13:00-13:59,14:00-14:59,15:00-15:59,16:00-16:59,17:00-17:59,18:00-18:59,19:00-19:59,20:00-20:59,21:00-21:59,22:00-22:59,23:00-23:59
2025-10-22,"微信",com.tencent.mm,129.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,6.55,7.97,3.00,3.28,13.30,1.03,0.28,34.72,12.90,1.45,6.20,0.00,10.02,2.33,0.53,25.82
2025-10-22,"哔哩哔哩",tv.danmaku.bili,89.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.77,0.00,0.30,0.00,0.00,0.00,0.00,0.00,11.28,43.05,7.17,0.00,14.45,3.82,0.00,0.00,0.00
2025-10-22,"小红书",com.xingin.xhs,83.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.10,4.92,18.77,0.00,0.38,3.93,0.00,0.00,0.98,0.00,4.23,0.13,12.63,0.65,0.00,0.15,7.58
2025-10-22,"Suki",com.masseffect.suki,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,2.50,5.85,0.00,0.00,0.00,1.78,0.00,0.00,0.00,0.00,0.00,0.00,1.60
2025-10-22,"京东",com.jingdong.app.mall,11.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,2.02,0.00,0.83,0.00,0.00,0.20,2.58,0.00,0.00,0.00,4.60
2025-10-22,"支付宝",com.eg.android.AlipayGphone,11.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.00,0.00,0.50,0.00,0.00,5.62,0.00,0.00,0.68,0.78,1.57,0.43,0.00,0.00
2025-10-22,"系统桌面",com.miui.home,10.10,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.67,0.62,0.12,0.37,1.08,0.20,0.22,0.42,0.28,0.13,1.13,1.55,0.60,0.62,0.90,0.63
2025-10-22,"飞书",com.ss.android.lark,7.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.12
2025-10-22,"番茄免费小说",com.dragon.read,5.43,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.03,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,1.08,1.20,0.00,0.00,1.07,1.25,0.00
2025-10-22,"懂车帝",com.ss.android.auto,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,1.98,0.00
2025-10-22,"养基宝",yangjibao.app,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.03,0.00,0.67,0.82,0.70,0.00,0.67,0.05,0.70,0.25,0.05,0.00
